subject,method,band,window,car,accuracy,kappa,fold_accuracy_std
A03,CSP+SVM,7-35Hz,0.5-3.5s,True,0.8541666666666666,0.8055555555555556,0.0590465794433414
A03,FBCSP+LDA,7-35Hz,0.5-3.5s,True,0.75,0.6666666666666667,0.0279741824019785
A03,CSP+SVM,7-35Hz,0.5-4.0s,False,0.8611111111111112,0.8148148148148149,0.0369341251607287
A03,FBCSP+LDA,7-35Hz,0.5-4.0s,False,0.7534722222222222,0.6712962962962963,0.0520823011295352
A03,CSP+SVM,7-35Hz,0.5-4.0s,True,0.8541666666666666,0.8055555555555556,0.0412663007891391
A03,FBCSP+LDA,7-35Hz,0.5-4.0s,True,0.7569444444444444,0.6759259259259259,0.047553757450548
A03,CSP+SVM,7-35Hz,1.0-4.0s,False,0.8194444444444444,0.7592592592592593,0.0560493374319232
A03,FBCSP+LDA,7-35Hz,1.0-4.0s,False,0.7326388888888888,0.6435185185185186,0.03666001808403
A03,CSP+SVM,7-35Hz,1.0-4.0s,True,0.8263888888888888,0.7685185185185185,0.0483228411677852
A03,FBCSP+LDA,7-35Hz,1.0-4.0s,True,0.7395833333333334,0.6527777777777778,0.0477496041465936
A03,CSP+SVM,4-40Hz,0.5-2.5s,False,0.8055555555555556,0.7407407407407407,0.056332332318805
A03,FBCSP+LDA,4-40Hz,0.5-2.5s,False,0.7083333333333334,0.6111111111111112,0.0400621020773501
A03,CSP+SVM,4-40Hz,0.5-2.5s,True,0.8020833333333334,0.7361111111111112,0.0558200728131615
A03,FBCSP+LDA,4-40Hz,0.5-2.5s,True,0.7118055555555556,0.6157407407407407,0.0267848005247152
A03,CSP+SVM,4-40Hz,0.5-3.5s,False,0.8402777777777778,0.787037037037037,0.0602150156267262
A03,FBCSP+LDA,4-40Hz,0.5-3.5s,False,0.7256944444444444,0.6342592592592593,0.0590862340562724
A03,CSP+SVM,4-40Hz,0.5-3.5s,True,0.8402777777777778,0.787037037037037,0.0602150156267262
A03,FBCSP+LDA,4-40Hz,0.5-3.5s,True,0.7430555555555556,0.6574074074074074,0.0364219488675246
A03,CSP+SVM,4-40Hz,0.5-4.0s,False,0.8333333333333334,0.7777777777777778,0.0529364445059357
A03,FBCSP+LDA,4-40Hz,0.5-4.0s,False,0.7326388888888888,0.6435185185185186,0.0882410583607915
A03,CSP+SVM,4-40Hz,0.5-4.0s,True,0.8263888888888888,0.7685185185185185,0.0580469148663542
A03,FBCSP+LDA,4-40Hz,0.5-4.0s,True,0.7222222222222222,0.6296296296296297,0.1137180294682149
A03,CSP+SVM,4-40Hz,1.0-4.0s,False,0.8125,0.75,0.0516739124229931
A03,FBCSP+LDA,4-40Hz,1.0-4.0s,False,0.75,0.6666666666666667,0.1074922690766801
A03,CSP+SVM,4-40Hz,1.0-4.0s,True,0.8090277777777778,0.7453703703703703,0.054815379834882
A03,FBCSP+LDA,4-40Hz,1.0-4.0s,True,0.7638888888888888,0.6851851851851851,0.1163565395435086
A04,CSP+SVM,8-30Hz,0.5-2.5s,False,0.4826388888888889,0.3101851851851852,0.050376772343837
A04,FBCSP+LDA,8-30Hz,0.5-2.5s,False,0.5034722222222222,0.3379629629629629,0.0745681215828115
A04,CSP+SVM,8-30Hz,0.5-2.5s,True,0.4583333333333333,0.2777777777777778,0.0402453927144994
A04,FBCSP+LDA,8-30Hz,0.5-2.5s,True,0.4930555555555556,0.324074074074074,0.0922829789546948
A04,CSP+SVM,8-30Hz,0.5-3.5s,False,0.4548611111111111,0.2731481481481481,0.0442053671273194
A04,FBCSP+LDA,8-30Hz,0.5-3.5s,False,0.4409722222222222,0.2546296296296296,0.0621908992186638
